日期,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-09-28,0.509,0.51,0.512,0.506,1124085,57149823.565,1.18,0.39,0.002,0.87
2023-10-09,0.509,0.512,0.515,0.506,2087519,106888587.243,1.76,0.39,0.002,1.62
2023-10-10,0.512,0.508,0.516,0.508,823627,42116615.82,1.56,-0.78,-0.004,0.64
2023-10-11,0.509,0.515,0.518,0.509,1364236,70274326.455,1.77,1.38,0.007,1.06
2023-10-12,0.517,0.52,0.521,0.515,1815189,94156058.342,1.17,0.97,0.005,1.41
2023-10-13,0.517,0.514,0.518,0.511,926567,47615427.74,1.35,-1.15,-0.006,0.72
2023-10-16,0.515,0.504,0.515,0.501,1351849,68401833.707,2.72,-1.95,-0.01,1.05
2023-10-17,0.504,0.506,0.508,0.501,1928209,97326306.875,1.39,0.4,0.002,1.5
2023-10-18,0.504,0.498,0.505,0.497,1201961,60017169.535,1.58,-1.58,-0.008,0.93
2023-10-19,0.496,0.495,0.5,0.494,1272982,63203185.89,1.2,-0.6,-0.003,0.99
2023-10-20,0.494,0.489,0.495,0.488,2358013,115714569.76,1.41,-1.21,-0.006,1.83
2023-10-23,0.488,0.481,0.489,0.478,2451566,117948814.664,2.25,-1.64,-0.008,1.9
2023-10-24,0.483,0.483,0.487,0.479,1218025,58831953.037,1.66,0.42,0.002,0.95
2023-10-25,0.486,0.48,0.489,0.479,1378591,66698388.487,2.07,-0.62,-0.003,1.07
2023-10-26,0.477,0.48,0.48,0.47,1419233,67337589.537,2.08,0.0,0.0,1.1
2023-10-27,0.478,0.491,0.494,0.475,2796367,136559239.605,3.96,2.29,0.011,2.17
2023-10-30,0.489,0.507,0.509,0.489,2717609,136488847.879,4.07,3.26,0.016,2.11
2023-10-31,0.507,0.504,0.508,0.5,1172262,58951539.751,1.58,-0.59,-0.003,0.91
2023-11-01,0.504,0.501,0.504,0.498,898875,45046318.679,1.19,-0.6,-0.003,0.7
2023-11-02,0.5,0.498,0.505,0.497,1087041,54513490.553,1.6,-0.6,-0.003,0.84
2023-11-03,0.498,0.505,0.507,0.498,2017504,101908619.984,1.81,1.41,0.007,1.57
2023-11-06,0.507,0.52,0.521,0.507,2932481,151668231.678,2.77,2.97,0.015,2.28
2023-11-07,0.52,0.52,0.522,0.516,1030716,53453739.763,1.15,0.0,0.0,0.8
2023-11-08,0.519,0.522,0.526,0.518,1336159,69755422.779,1.54,0.38,0.002,1.04
2023-11-09,0.521,0.521,0.525,0.518,891586,46491314.515,1.34,-0.19,-0.001,0.69
2023-11-10,0.518,0.516,0.519,0.514,1055436,54474786.703,0.96,-0.96,-0.005,0.82
2023-11-13,0.518,0.516,0.52,0.514,2486654,128426352.025,1.16,0.0,0.0,1.93
2023-11-14,0.516,0.518,0.522,0.515,862023,44630346.205,1.36,0.39,0.002,0.67
2023-11-15,0.524,0.519,0.525,0.518,925115,48214225.241,1.35,0.19,0.001,0.72
2023-11-16,0.52,0.51,0.52,0.51,1348637,69157742.433,1.93,-1.73,-0.009,1.05
2023-11-17,0.51,0.512,0.512,0.508,674398,34395316.169,0.78,0.39,0.002,0.52
2023-11-20,0.512,0.514,0.515,0.507,1012332,51768727.568,1.56,0.39,0.002,0.79
2023-11-21,0.515,0.51,0.518,0.51,900437,46292499.109,1.56,-0.78,-0.004,0.7
2023-11-22,0.51,0.502,0.51,0.501,1097279,55427271.189,1.76,-1.57,-0.008,0.85
2023-11-23,0.501,0.504,0.505,0.499,1013318,50854545.279,1.2,0.4,0.002,0.79
2023-11-24,0.504,0.498,0.505,0.498,903701,45208238.252,1.39,-1.19,-0.006,0.7
2023-11-27,0.498,0.498,0.499,0.494,777173,38585779.052,1.0,0.0,0.0,0.6
2023-11-28,0.498,0.5,0.501,0.496,667351,33280326.55,1.0,0.4,0.002,0.52
2023-11-29,0.501,0.496,0.501,0.495,693296,34509642.726,1.2,-0.8,-0.004,0.54
2023-11-30,0.496,0.496,0.5,0.494,777421,38620044.674,1.21,0.0,0.0,0.6
2023-12-01,0.496,0.499,0.501,0.492,948623,47063452.599,1.81,0.6,0.003,0.74
2023-12-04,0.499,0.494,0.5,0.493,881625,43787027.36,1.4,-1.0,-0.005,0.68
2023-12-05,0.493,0.485,0.493,0.483,1216763,59561134.852,2.02,-1.82,-0.009,0.94
2023-12-06,0.485,0.485,0.489,0.483,1058968,51470395.974,1.24,0.0,0.0,0.82
2023-12-07,0.485,0.483,0.486,0.479,1062675,51233564.284,1.44,-0.41,-0.002,0.82
2023-12-08,0.483,0.489,0.491,0.481,1389746,67592320.3,2.07,1.24,0.006,1.08
